,headline,is_sarcastic
0,when the core is shaky,0
1,lessons from kodak,0
2,dancing with thieves,0
3,5 spectacular april getaways,0
4,produce manager ready for some football,1
5,foreign aid to create jobs,0
6,sunday roundup,0
7,rick perry returning to iowa,0
8,i photograph to remember,0
9,lesbian hen enjoying hen house,1
10,the 23 best songs of 2014,0
11,god loses decision-making coin,1
12,wither the democrats?,0
13,an nfl guide to employee management,0
14,learning from failure,0
15,empire of destruction,0
16,hurricane bitch hits florida,1
17,adopting? proceed reverently,0
18,living in our heads,0
19,dick clark still sitting there,1
20,school for crime,0
21,cbs picks up nbc nightly news,1
22,war criminal a grandpa,1
23,the power of collective voice,0
24,dishwasher broke,1
25,racist merely misspoke,1
26,struggling airline helped by friendly giant,1
27,when sugar was the answer,0
28,eu court issues landmark data ruling,0
29,inside paris with an urban explorer,0
30,oscar countdown 2002 begins,1
31,man calls trust fund savings,1
32,much ado...,0
33,unclear whether grandpa having good time,1
34,those we lost in 2011,1
35,armchair quarterback blitzed,1
36,the future is blurry!,0
37,dear sleep-deprived mama,0
38,dog or lena dunham?,0
39,boss born in 1991,1
40,congress raises killing age to 19,1
41,area gambler likes those odds,1
42,mom sleeps in past sunrise,1
43,'little boy' stands tall,0
44,troop gradually withdraws,1
45,shit parking ticket fuck,1
46,the no-problem problem,0
47,truth through fiction,0
48,man with nice eyes blown,1
49,the power of keeping it personal,0
50,facebook to block private gun sales,0
51,state department releases more clinton emails,0
52,white to attend boat show,1
53,the uk election: us lessons,0
54,pet winterized,1
55,bush elected president of iraq,1
56,changing the human narrative,0
57,cake just sitting there,1
58,ashcroft loses job to mexican,1
59,just jump through the fear,0
60,man throws money at problem,1
61,weird porno stops at kissing,1
62,reflections from ivy day,0
63,nasa to send earth into space,1
64,sunday roundup,0
65,jailed for being too poor,0
66,hilton head island is the best,0
67,10 basic trends 2014 can keep,0
68,chinese buffet has french fries,1
69,veterans finding a new outlook outdoors,0
70,awkward tension mistaken for sexual tension,1
71,moral compass lost in woods,1
72,"white roof, low energy",0
73,a christmas miracle,0
74,bartender hurt by unfinished drink,1
75,study: you have hpv,1
76,when to get a second opinion,0
77,area power walker looks just ridiculous,1
78,how to dress your sexiest,0
79,jesus christ believed in,1
80,let's talk toilet paper,0
81,chick corea falls to communists,1
82,dog trying its absolute hardest,1
83,mexicans sweeping the nation,1
84,family dog barking at evil,1
85,international women's day,0
86,daily meditation: divine dance,0
87,an open letter to graduation speakers,0
88,"bye bye american airlines, bye",0
89,bar bet becomes increasingly complex,1
90,middle manager follows proper procedure,1
91,fourth tool discovered,1
92,classified america,0
93,supernatural powers vested in local pastor,1
94,coming out again!,0
95,sports de-emphasized,1
96,when arab power meets smart power,0
97,paintball team visits vietnam memorial,1
98,teamwork mostly karen,1
99,the journalist and the fixer,0
100,how artists are transforming detroit,0
101,friends from home embarrassing,1
102,elections in ukraine,0
103,suicide note makes convincing case,1
104,netflix may expand into news,0
105,"happy birthday, bo obama!",0
106,recovery expressions that blew my mind,0
107,ferguson police officer shot,0
108,turkey sandwich given locally relevant name,1
109,the great republican revolt,0
110,being comfortable with fear,0
111,think pynk,0
112,can machines really learn?,0
113,dodd-frank at four,0
114,community rallies to save eyesore,1
115,office politician runs for coffee,1
116,palestinians prepare for massive ground invasion,1
